step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
545,9185,2024-04-06 16:15:00,0.0,12.257235860768361,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.258073671725628,25.154751844724906,16.5,16.193671009997345,2065.5732252974517,6828.328382368422,9922.991389259683,9922.991389259683,0.0,9922.991389259683,71.94168757213271,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
546,9186,2024-04-06 16:30:00,0.0,12.257794404230168,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.258632197606348,25.15491573990842,16.25,16.09831520778258,2064.6105895074197,6828.39988709393,9925.932464228848,9925.932464228848,0.0,9925.932464228848,71.96301036565916,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
547,9187,2024-04-06 16:45:00,0.0,12.258352936693633,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.259190706523444,25.15499991595814,16.0,15.999996802540622,2063.6484968797927,6828.438079280674,9929.043693146814,9929.043693146814,0.0,9929.043693146814,71.98556677531441,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
548,9188,2024-04-06 17:00:00,0.0,12.258911454066684,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.259749195027752,25.15504088294719,16.05,15.949507790398108,2063.1492920676915,6828.490598033272,9927.669276820381,9927.669276820381,413.64,9514.029276820382,356.7760978807643,0.15,0.0,no_mpc,0.15,413.64,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
549,9189,2024-04-06 17:15:00,0.0,12.259469952788518,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.260307661244738,25.15502625113279,16.1,15.898342810974617,2062.6819714536696,6828.528224846434,9929.18949202726,9929.18949202726,0.0,9929.18949202726,71.98662381719764,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
550,9190,2024-04-06 17:30:00,0.0,12.26002843013528,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.260866102766917,25.154961003713307,16.15,15.846486400729155,2062.2134694852894,6828.544899326171,9930.85383406004,9930.85383406004,0.0,9930.85383406004,71.9986902969353,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
551,9191,2024-04-06 17:45:00,0.0,12.26058688403333,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.261424517408043,25.154854054843415,16.2,15.793941488209082,2061.7447627425877,6828.542243641476,9932.560968397214,9932.560968397212,0.0,9932.560968397214,72.0110670208798,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
552,9192,2024-04-06 18:00:00,0.0,12.261145312101316,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.26198290335899,25.154706062720305,16.15,15.846486400729155,2062.1394369531417,6828.5086812329855,9924.421847221278,9924.421847221274,0.0,9924.421847221278,372.1658192707979,0.15,0.0,no_mpc,0.15,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
553,9193,2024-04-06 18:15:00,0.0,12.261703712383031,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.262541258844514,25.154513663114237,16.1,15.898342810974617,2062.597291374043,6828.459171066898,9922.646973002968,9922.646973002966,0.0,9922.646973002968,71.93919055427152,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
554,9194,2024-04-06 18:30:00,0.0,12.262262083108693,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,12.26309958194306,25.154283503748246,16.05,15.949507790398108,2063.0553392359134,6828.393093559345,9921.135827787199,9921.135827787199,0.0,9921.135827787199,71.9282347514572,0.029,0.0,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
